Planet,Distance_AU,Eccentricity,Mass_Earth,Radius_km,Density_gcc,Escape_kms,Mol_weight,Accel_cm_s2,Grav_g,Boil_C,Pressure_atm,Temp_C,Hydro_%,Cloud_%,Ice_%,Tilt_deg,Albedo,Year_days,Day_hours,Gas_giant,Resonant
1,0.030,0.007,0.034,2102.9,5.266,3.61,60.99,309.47,0.32,-273.0,0.000,761.66,0.00,0.00,0.00,21,0.082,74.04,27.243621,no,no
2,0.055,0.255,0.211,3838.5,5.312,6.61,18.15,569.82,0.58,-273.0,0.000,494.40,0.00,0.00,0.00,23,0.080,181.79,20.077073,no,no
3,0.084,0.128,1.248,6882.0,5.463,12.03,5.49,1050.78,1.07,120.1,2.000,319.99,0.00,100.00,0.00,27,0.605,339.38,14.784797,no,no
4,0.099,0.054,0.030,2008.8,5.264,3.45,66.86,295.52,0.30,-273.0,0.000,301.52,0.00,0.00,0.00,31,0.071,436.26,27.878898,no,no
5,0.252,0.120,7.473,22042.1,0.996,16.44,2.94,613.39,,,,,,,,33,0.591,1767.24,16.502535,yes,no
6,0.471,0.078,1.662,10028.3,2.351,11.50,6.01,658.90,0.67,136.9,3.386,16.71,58.56,49.72,1.23,32,0.347,4510.59,18.670679,no,no
7,0.765,0.133,352.919,74428.1,1.221,61.50,0.21,2540.62,,,,,,,,42,0.536,9338.57,8.108671,yes,no
8,1.304,0.045,3.486,20238.3,0.600,11.72,5.78,339.41,,,,,,,,45,0.420,20820.83,22.184785,yes,no
9,2.493,0.130,13.247,31528.9,0.603,18.31,2.37,531.40,,,,,,,,46,0.620,55000.15,17.729992,yes,no
10,4.042,0.225,0.197,5020.7,2.225,5.60,25.32,312.20,0.32,-48.4,0.000,-184.64,0.00,0.00,0.11,51,0.160,113562.15,27.123888,no,no
11,4.337,0.021,0.015,2154.7,2.193,2.39,139.49,132.05,0.13,-89.1,0.000,-187.76,0.00,0.00,0.05,61,0.139,126232.05,41.705721,no,no
